bartime,atr,signal
2026-05-19 05:00:00,353.4919412296407,-1
2026-05-19 16:00:00,380.5530744559045,1
2026-05-19 23:00:00,257.3476130801349,-1
2026-05-20 09:00:00,332.9932354081902,1
2026-05-21 10:00:00,361.6838844411807,-1
2026-05-21 15:00:00,331.45135925368675,1
2026-05-22 20:00:00,208.1163485859638,-1
2026-05-24 22:00:00,356.91307886877223,1
2026-05-26 00:00:00,283.91000002771034,-1
2026-05-26 09:00:00,274.2246284529983,1
2026-05-27 04:00:00,415.7484614021215,-1
2026-05-28 12:00:00,307.5427848637946,1
2026-05-29 17:00:00,244.02961162978215,-1
2026-05-31 22:00:00,306.36492892355693,1
2026-06-01 13:00:00,346.80277748848084,-1
2026-06-01 17:00:00,391.0305776592804,1
2026-06-02 00:00:00,428.5365079599286,-1
2026-06-02 07:00:00,351.6405343541187,1
2026-06-03 13:00:00,315.0468181680758,-1
2026-06-04 16:00:00,305.4873914771066,1
2026-06-04 23:00:00,280.10277916110294,-1
2026-06-08 09:00:00,493.20628215124793,1
2026-06-09 00:00:00,556.8442786035916,-1
2026-06-09 04:00:00,515.7373365160321,1
2026-06-09 14:00:00,502.65070383868283,-1
2026-06-10 13:00:00,633.0727290063608,1
2026-06-10 16:00:00,655.7420372512553,-1
2026-06-11 02:00:00,664.9848299574029,1
2026-06-15 22:00:00,195.84155431265265,-1
2026-06-16 08:00:00,323.17463993906296,1
2026-06-16 09:00:00,321.17971195124977,-1
2026-06-16 10:00:00,303.88376956099927,1
