bartime,atr,signal
2026-05-20 02:00:00,26.85778308678959,-1
2026-05-20 08:00:00,30.708587489503625,1
2026-05-21 05:00:00,23.089997523370833,-1
2026-05-21 09:00:00,29.818142985572656,1
2026-05-21 10:00:00,41.49451438845827,-1
2026-05-21 13:00:00,45.04359136689038,1
2026-05-22 07:00:00,22.745170911643847,-1
2026-05-24 22:00:00,26.83226683127606,1
2026-05-25 23:00:00,10.263435701226381,-1
2026-05-26 10:00:00,22.754108453179686,1
2026-05-26 14:00:00,28.610642822422673,-1
2026-05-27 09:00:00,23.603601325889368,1
2026-05-27 15:00:00,30.059216065974077,-1
2026-05-27 20:00:00,19.860075920498666,1
2026-05-27 23:00:00,17.685958871295238,-1
2026-05-28 16:00:00,32.628769372472235,1
2026-05-29 13:00:00,24.414272647596494,-1
2026-06-01 10:00:00,19.275272028736016,1
2026-06-01 13:00:00,33.3505392787127,-1
2026-06-02 03:00:00,21.51441834507084,1
2026-06-02 13:00:00,23.303029609533414,-1
2026-06-02 18:00:00,21.12806474245207,1
2026-06-03 02:00:00,14.732763778461173,-1
2026-06-04 07:00:00,24.432845827386565,1
2026-06-04 10:00:00,37.64241706362162,-1
2026-06-04 12:00:00,41.83514692071757,1
2026-06-05 03:00:00,17.536103438668885,-1
2026-06-05 06:00:00,23.492084960598607,1
2026-06-05 07:00:00,29.833667968479034,-1
2026-06-05 08:00:00,34.5869343747833,1
2026-06-05 15:00:00,33.73367337979462,-1
2026-06-08 09:00:00,36.64135773370179,1
2026-06-08 17:00:00,30.736993332315883,-1
2026-06-09 03:00:00,19.83651248337211,1
2026-06-09 07:00:00,23.37191551318905,-1
2026-06-10 14:00:00,40.988826542984576,1
2026-06-10 19:00:00,33.843602681605105,-1
2026-06-11 03:00:00,33.17583397207475,1
2026-06-12 06:00:00,23.3952587640171,-1
2026-06-12 08:00:00,35.324965608971134,1
2026-06-12 12:00:00,30.68926591343471,-1
2026-06-12 14:00:00,34.50913018459803,1
2026-06-15 09:00:00,27.533121069297184,-1
2026-06-16 06:00:00,16.471945591274892,1
2026-06-16 19:00:00,18.553719041147094,-1
2026-06-17 01:00:00,16.287630924322453,1
2026-06-17 07:00:00,18.656923921025268,-1
