bartime,atr,signal
2026-04-23 13:00:00,115.9987650407896,1
2026-04-23 17:00:00,175.6272096261054,-1
2026-04-23 23:00:00,148.0243313285662,1
2026-04-28 01:00:00,81.58990101393675,-1
2026-04-29 13:00:00,106.54526624431467,1
2026-04-29 15:00:00,116.93621299545175,-1
2026-04-29 17:00:00,121.86897039636112,1
2026-04-29 19:00:00,160.81517631708863,-1
2026-04-29 21:00:00,198.87214105367062,1
2026-04-30 03:00:00,202.89293621947954,-1
2026-04-30 11:00:00,165.05950667549882,1
2026-05-04 14:00:00,142.6781633762738,-1
2026-05-05 05:00:00,80.19313898247015,1
2026-05-07 19:00:00,155.49048554198745,-1
2026-05-08 05:00:00,107.47950630239863,1
2026-05-12 03:00:00,112.39796555438816,-1
2026-05-13 03:00:00,138.50242289076857,1
2026-05-15 03:00:00,132.68640359147628,-1
2026-05-20 05:00:00,168.02527254487984,1
2026-05-26 01:00:00,73.9262942163772,-1
2026-05-26 13:00:00,125.52330887105825,1
2026-05-27 13:00:00,160.13028238567125,-1
2026-05-28 11:00:00,150.03887935142652,1
2026-06-01 12:00:00,107.61353756044353,-1
2026-06-01 16:00:00,159.5686640386841,1
2026-06-01 23:00:00,127.74620479024449,-1
2026-06-02 07:00:00,102.46420548208393,1
2026-06-03 15:00:00,145.80762291118322,-1
2026-06-04 17:00:00,154.67950074864382,1
2026-06-04 23:00:00,169.77270438330538,-1
2026-06-08 14:00:00,278.52748365696885,1
2026-06-09 13:00:00,257.17722385305416,-1
2026-06-11 05:00:00,227.95494691362785,1
2026-06-16 13:00:00,149.8828359018298,-1
2026-06-18 05:00:00,168.32979476607204,1
