bartime,atr,signal
2026-01-09 10:00:00,87.78439567765912,-1
2026-01-12 13:00:00,111.74595877565555,1
2026-01-15 10:00:00,102.23692182889596,-1
2026-01-16 16:00:00,82.35841483591355,1
2026-01-20 07:00:00,134.98768537343253,-1
2026-01-22 13:00:00,166.28633639712027,1
2026-01-28 10:00:00,117.3644065058602,-1
2026-01-29 10:00:00,112.65790090480128,1
2026-01-29 13:00:00,144.90632072384133,-1
2026-01-30 07:00:00,150.78404526325798,1
2026-02-05 07:00:00,198.52986693456688,-1
2026-02-06 16:00:00,140.68298291015628,1
2026-02-11 16:00:00,138.47651585928315,-1
2026-02-17 07:00:00,124.30023607729754,1
2026-02-27 13:00:00,120.6788407389869,-1
2026-03-10 07:00:00,308.6227412578286,1
2026-03-12 10:00:00,208.11937862875686,-1
2026-03-17 07:00:00,192.6143747657751,1
2026-03-19 07:00:00,198.8806591095036,-1
2026-03-23 10:00:00,362.0490263048206,1
2026-03-27 07:00:00,190.9771993190319,-1
2026-03-30 12:00:00,169.72294453828852,1
2026-04-13 09:00:00,164.04976432054815,-1
2026-04-14 12:00:00,127.79361877255747,1
2026-04-16 12:00:00,101.24020147168869,-1
2026-04-17 12:00:00,173.48206652280322,1
2026-04-21 12:00:00,128.0055611177941,-1
2026-04-30 12:00:00,172.4852143168871,1
2026-05-04 06:00:00,147.0051544218852,-1
2026-05-05 15:00:00,154.0644704006167,1
2026-05-11 09:00:00,120.1955539307207,-1
2026-05-14 06:00:00,122.6745645513491,1
2026-05-15 06:00:00,129.38046164023282,-1
2026-05-18 12:00:00,158.66026053621766,1
2026-05-29 15:00:00,122.77948971701554,-1
2026-06-03 06:00:00,131.70932871801628,1
2026-06-03 12:00:00,122.4859703795304,-1
2026-06-04 09:00:00,134.18561683431966,1
2026-06-04 12:00:00,127.5084934674556,-1
2026-06-05 06:00:00,122.66543581917159,1
2026-06-08 15:00:00,150.83132160590478,-1
2026-06-09 09:00:00,152.90804582777912,1
2026-06-09 15:00:00,178.00514932977876,-1
2026-06-11 06:00:00,173.10927133238198,1
2026-06-24 09:00:00,114.88733858174203,-1
2026-06-25 12:00:00,117.78180310646533,1
2026-06-26 09:00:00,112.56348319051004,-1
