bartime,atr,signal
2026-05-27 15:00:00,329.0430674444047,-1
2026-05-28 12:00:00,307.533476554652,1
2026-05-29 17:00:00,244.02959722587136,-1
2026-05-31 22:00:00,306.36492302371505,1
2026-06-01 13:00:00,346.8027772808987,-1
2026-06-01 17:00:00,391.0305775742548,1
2026-06-02 00:00:00,428.5365079420974,-1
2026-06-02 07:00:00,351.6405343503792,1
2026-06-03 13:00:00,315.0468181680712,-1
2026-06-04 16:00:00,305.48739147710654,1
2026-06-04 23:00:00,280.1027791611029,-1
2026-06-08 09:00:00,493.20628215124793,1
2026-06-09 00:00:00,556.8442786035916,-1
2026-06-09 04:00:00,515.7373365160321,1
2026-06-09 14:00:00,502.65070383868283,-1
2026-06-10 13:00:00,633.0727290063608,1
2026-06-10 16:00:00,655.7420372512553,-1
2026-06-11 02:00:00,664.9848299574029,1
2026-06-15 22:00:00,195.84155431265265,-1
2026-06-16 08:00:00,323.17463993906296,1
2026-06-16 09:00:00,321.17971195124977,-1
2026-06-16 10:00:00,303.88376956099927,1
2026-06-16 14:00:00,349.6242320121876,-1
2026-06-17 00:00:00,342.18889209921724,1
2026-06-17 19:00:00,522.4852414008147,-1
2026-06-18 00:00:00,612.3807319022194,1
2026-06-19 00:00:00,390.55197238556457,-1
2026-06-19 07:00:00,392.07448979923123,1
2026-06-21 22:00:00,256.574982312019,-1
2026-06-22 00:00:00,501.83998867969234,1
2026-06-22 22:00:00,212.7936174307832,-1
2026-06-23 23:00:00,386.26499169379014,1
2026-06-24 17:00:00,473.4670453961494,-1
2026-06-24 20:00:00,711.3911272428317,1
