bartime,atr,signal
2026-05-22 06:00:00,273.48425665112137,1
2026-05-22 20:00:00,208.04435420342995,-1
2026-05-24 22:00:00,356.8554833627452,1
2026-05-26 00:00:00,283.9097280406231,-1
2026-05-26 09:00:00,274.2245919475094,1
2026-05-27 04:00:00,415.74846087602197,-1
2026-05-28 12:00:00,307.5427848633778,1
2026-05-29 17:00:00,244.02961162978144,-1
2026-05-31 22:00:00,306.3649289235566,1
2026-06-01 13:00:00,346.80277748848084,-1
2026-06-01 17:00:00,391.0305776592804,1
2026-06-02 00:00:00,428.5365079599286,-1
2026-06-02 07:00:00,351.6405343541187,1
2026-06-03 13:00:00,315.0468181680758,-1
2026-06-04 16:00:00,305.4873914771066,1
2026-06-04 23:00:00,280.10277916110294,-1
2026-06-08 09:00:00,493.20628215124793,1
2026-06-09 00:00:00,556.8442786035916,-1
2026-06-09 04:00:00,515.7373365160321,1
2026-06-09 14:00:00,502.65070383868283,-1
2026-06-10 13:00:00,633.0727290063608,1
2026-06-10 16:00:00,655.7420372512553,-1
2026-06-11 02:00:00,664.9848299574029,1
2026-06-15 22:00:00,195.84155431265265,-1
2026-06-16 08:00:00,323.17463993906296,1
2026-06-16 09:00:00,321.17971195124977,-1
2026-06-16 10:00:00,303.88376956099927,1
2026-06-16 14:00:00,349.6242320121876,-1
2026-06-17 00:00:00,342.18889209921724,1
2026-06-17 19:00:00,522.4852414008147,-1
2026-06-18 00:00:00,612.3807319022194,1
2026-06-19 00:00:00,390.55197238556457,-1
2026-06-19 12:00:00,335.1335477192291,1
2026-06-21 23:00:00,396.88147054030935,-1
2026-06-22 00:00:00,575.2651764322482,1
