bartime,atr,signal
2026-03-24 15:00:00,51.0931826837183,1
2026-03-25 21:00:00,36.587204139598256,-1
2026-03-31 09:00:00,46.19333107490995,1
2026-04-02 03:00:00,41.36380524664482,-1
2026-04-02 18:00:00,50.43799570322045,1
2026-04-07 09:00:00,34.60110330885321,-1
2026-04-07 18:00:00,52.19976489413284,1
2026-04-13 07:00:00,24.436791370232964,-1
2026-04-13 16:00:00,32.70923718155941,1
2026-04-21 12:00:00,23.790362250486442,-1
2026-04-22 12:00:00,22.508573645946583,1
2026-04-23 00:00:00,26.478711765379657,-1
2026-04-23 12:00:00,28.324880339099504,1
2026-04-23 15:00:00,42.8799042712795,-1
2026-04-24 03:00:00,30.017848789516144,1
2026-04-28 09:00:00,22.792166553473884,-1
2026-04-29 21:00:00,33.85332777810181,1
2026-04-30 03:00:00,34.96612977798516,-1
2026-04-30 09:00:00,36.72632305791058,1
2026-05-04 13:00:00,32.89538625776785,-1
2026-05-05 06:00:00,20.7510913351564,1
2026-05-12 06:00:00,19.03379092094045,-1
2026-05-13 00:00:00,25.872698087178836,1
2026-05-15 03:00:00,27.808149481373295,-1
2026-05-20 06:00:00,34.052137640772,1
2026-05-26 15:00:00,21.861458176385234,-1
2026-05-27 06:00:00,18.137866615237858,1
2026-05-27 12:00:00,23.036234633752258,-1
2026-05-28 12:00:00,28.274872762771345,1
2026-06-02 00:00:00,22.675666173544446,-1
2026-06-02 12:00:00,22.79227286468385,1
2026-06-03 12:00:00,20.650027249817285,-1
2026-06-04 15:00:00,27.301118588608492,1
2026-06-05 12:00:00,29.93281826503373,-1
2026-06-11 15:00:00,63.464422735142016,1
2026-06-16 18:00:00,24.13419118147517,-1
